Postal Code,Score,Amenity Score,Shop Score,Tourism Score,Accessibility Score
6211GP,100.0,99.92559402137016,99.70940303671595,98.74976614636529,94.89442578055045
6211EE,99.9517447335865,99.59515118554798,100.0,98.0916086716053,95.21026592497589
6211GR,99.93233085884319,99.85097474381962,99.57595618693422,98.82772776567744,94.87078167084243
6211ED,99.88661927966804,99.53699076635068,99.87818239972877,98.0027269488803,95.2322396875191
6211GL,99.82189470048958,99.83003359363583,99.27962215494874,98.6713196260855,94.89016278075775
6211EC,99.81680826342541,99.4480045850629,99.73274665067356,98.1751588091615,95.19750350623018
6211GS,99.76110796445522,99.60309534308762,99.34901289078898,98.6190732653002,94.9659816029599
6211GN,99.7415487090698,100.0,98.79808210496815,99.32516670357057,94.54896071673471
6211GK,99.74143292183015,99.8251212605002,99.03131363775313,98.75241194563463,94.83467665175223
6211CW,99.64649013862918,99.11249296298324,99.66305723880492,97.62212650990332,95.40874266222146
6211GM,99.64055299124729,99.98596465234654,98.50129434085981,99.401408688532,94.48549175870825
6211ES,99.63729008200963,99.59330453290498,99.01901517172588,98.26615670067619,95.04574826475456
6211ET,99.57871610648695,99.46499913194666,99.01033392080457,98.03675645036967,95.14091037059286
6211CT,99.5029818419017,99.02665983729207,99.29202292575019,97.78024621871374,95.34942216603173
6211GE,99.4927842973489,99.81419840236632,98.25898711833254,99.04030073521163,94.64352778157729
6211GX,99.4559520984591,99.7718147246141,98.20405021892792,99.35113378534507,94.47344906682707
6211ER,99.45143124083587,99.13381181307876,99.06344410077668,97.54066990863029,95.34327722754247
6211EH,99.45138743952418,98.89943724777054,99.37665326224975,97.2613354579136,95.48166360097676
6211EK,99.43348094924029,98.85542716815172,99.37577563178978,97.22567200542024,95.50043034695905
6211GJ,99.41132127511901,99.86923985110617,97.93256276699108,99.31752771070728,94.48229752673602
6211EW,99.34442906883896,99.47032239433412,98.2533238700731,98.2923478689526,94.98134418455874
6211GT,99.2113077860813,99.27303750630642,98.0497070275753,98.75986644992001,94.79038065964782
6211GZ,99.20211812584486,99.78324525190851,97.416330177505,99.64774570437794,94.23072287880701
6211EB,99.13654718858713,98.95023030403576,98.2137547303673,98.23847041975675,95.08153996730074
6211GW,99.08891949722545,99.34400916125854,97.59954151891701,99.05594340984909,94.57143499670501
6211DE,99.01622047356933,99.59885488905137,97.04536758520516,99.10068480929044,94.51172985677064
6211CR,99.011953608233,98.36727702387854,98.678860404756,96.8553992053356,95.62622430263718
6211CS,98.9918407041124,98.34927361638769,98.62754938808646,96.88833283350269,95.6234365179917
6211GD,98.98082102842704,99.54129683974345,97.00879701362413,98.99092308694357,94.56182106426463
6211GH,98.959658610336,99.34693928848898,97.19489546388664,98.47779262688431,94.82347812199913
6211EV,98.91056347588047,99.07806077961484,97.40581062810347,97.88818316733192,95.09729200432943
6211GB,98.89818244649196,99.44525319490322,96.87393366738503,98.84154457698185,94.62291867441319
6211EJ,98.83430560606651,98.1811800028173,98.4202897434615,96.58177851241875,95.6460638516776
6211CM,98.81004841942296,98.16701743658729,98.27834199207345,96.83903657831874,95.63892758306508
6211EN,98.75322237107272,98.42802627765812,97.84013383028339,96.85815884658248,95.48411955915813
6211GA,98.71387520778714,99.60287736363168,96.11624748152646,99.53789102148701,94.18612993664529
6211EP,98.65506086261406,98.12374759168853,97.95865800095933,96.539280466839,95.58972161314217
6211HD,98.58839657577514,99.64187882670046,95.70025781320602,99.86706921840135,93.94805373017583
6211CN,98.58781786795876,97.94942195515628,97.84799939081282,96.80778175898624,95.63814184518479
6211EG,98.56552771973836,97.90217718058435,97.97086089492832,96.33418327434046,95.67509535107338
6211GV,98.49498639152175,98.67601260054789,96.58489316649833,98.60679878432161,94.72181667373592
6211CX,98.48693894599084,98.03804396749649,97.36478061114522,97.31213290771903,95.43552671177346
6211CV,98.47848195089917,98.10653383775826,97.24055941656684,97.47647699152388,95.36095583870187
6211DA,98.46584199072753,99.08398884314569,95.98653483947558,98.48781390394304,94.71901270035737
6211EA,98.46127937735551,98.40704528604516,96.7976930128143,98.11265452402196,95.02121732486943
6211HA,98.2736240390992,99.09332730843519,95.48111787773244,99.60095936799065,93.95293805195458
6211EX,98.24814538143154,99.0092030696493,95.40801867967956,98.60076542170218,94.60514809018815
6211CL,98.21941466646659,97.54955341961802,97.32486879331454,96.09381772551293,95.76080695222393
6211HC,98.12459257569236,98.67313730648425,95.50733712256928,99.1154575446597,94.26099471410917
6211GG,98.1041963787189,99.07231053381516,94.8991376070469,98.96327944872333,94.35034369695947
6211HE,98.00323917613916,99.36300937053775,94.32015455187286,100.0,93.6206501674446
6211HS,97.99364760320827,97.73151701194261,96.40106597425931,96.33970723024204,95.54506201733737
6211GC,97.92636437127018,99.11181880825106,94.33180162042419,99.29513233834504,94.0784754459844
6211LC,97.92598925007216,97.82959818258949,95.86867465219288,97.71564258472661,95.12550011087225
6211CZ,97.91980212457243,97.42938926881108,96.3926526961584,96.88520588064036,95.52462433865932
6211HW,97.84687185791562,99.02287290063681,94.31684786140904,99.86188904863604,93.60297724685172
6211HB,97.68215633186229,98.24866743920339,94.6858268789683,98.94891966237948,94.24122914818287
6211HX,97.6590291707889,98.84758730269319,93.97902619926684,99.80566112402992,93.56104447695796
6211CP,97.6267583481249,96.9341759513058,96.1869883280072,96.16167818100288,95.73859937588185
6211EL,97.60862422361063,96.92197028031752,96.34856041802902,95.59075912470865,95.71658673063781
6211DZ,97.5892552052187,97.06461466603729,95.8483003467288,96.62333220423002,95.56977966513463
6211KX,97.24763011172026,98.08452681659223,93.6328908863371,99.173183813153,93.8915932688545
6211CH,97.156533045779,96.40701573671366,95.45967606162064,95.57092061262975,95.85783707902186
6211EZ,97.08759119301143,98.5960148382402,92.46696520003658,99.12083123625443,93.85359454546358
6211EM,97.08252596000673,96.35295869074724,95.49697335728727,95.20736636758066,95.7264207635386
6211HT,96.90777018906782,98.59323739931554,92.09995512453236,99.94036385222385,93.11214962193935
6211HG,96.87778306561532,98.5815725890935,91.90354510811964,99.4058266052399,93.54932107959122
6211LA,96.8635092873602,97.58035779184024,93.06746425914683,98.82789178539927,94.02437191218641
6211MA,96.78869408679363,98.60983540538679,91.67349183740251,99.76931226481187,93.21631395326125
6211LD,96.6437015994762,96.9983740869376,93.04141486481478,98.16456131941133,94.47392193859375
6211HR,96.63192857448746,98.48028112562614,91.42676129746319,99.89274012301287,93.00987719894883
6211LB,96.52863964202464,97.2502584392853,92.46944598247505,98.6868144366549,93.99893683271915
6211TA,96.50809693612327,95.84350079229019,94.15164327113966,95.7573967899361,95.65244884131522
6211DW,96.50692037839309,95.76080013826461,94.5251907363367,94.83370554354016,95.7135660904278
6211SR,96.44945700325539,95.64869871578759,94.28035397473766,95.2802456234568,95.79806620329295
6211DS,96.43558409754223,95.61165874221673,94.51389426405055,94.70813278715947,95.73940373533416
6211HL,96.12826649283507,98.094337658942,90.36086046665882,99.4751827700589,93.1028919145326
6211MB,96.04936967158646,98.0624235956473,90.23635053455341,99.69004460729698,92.85655256312185
6211JB,95.88079053395877,97.46399447661959,90.51387831210205,99.47701952828577,92.91138243063224
6211HV,95.86630916216144,97.76476948304908,90.13512856786048,99.7155352710967,92.68720686008773
6211SW,95.78371748230204,94.92937706406374,93.21793070544935,94.89400869803589,95.73680937265947
6211KW,95.77784384992046,97.03543999514045,90.65687027578576,99.05608257476226,93.2562399980245
