postal_code,latitude,longitude
6211AA,50.858065604744,5.6940574444944
6211AB,50.8577644439073,5.6908605201489
6211AD,50.855053490679,5.6947579072946
6211AG,50.8552171290233,5.6943261359986
6211AH,50.8553807673675,5.6938943647025
6211AK,50.8553334043036,5.6907966523674
6211AL,50.8554018088767,5.6913785770604
6211AL,50.8552537716955,5.6913076613864
6211AM,50.8535938431467,5.6919569803363
6211AN,50.8536147885492,5.6920057428689
6211AP,50.8530391720319,5.6918280398903
6211AR,50.8549954027638,5.6922969267544
6211AS,50.8560967102927,5.6902613743809
6211AT,50.8545727893593,5.6902021244192
6211AV,50.8533650815515,5.6902492111782
6211AW,50.8525639987481,5.690487052296
6211AX,50.8539309556497,5.6897993521361
6211AZ,50.852642799858,5.6898827738707
6211BA,50.8546598827067,5.6926173387264
6211BB,50.8548830955769,5.6906871260936
6211BC,50.854863629849,5.6925894642541
6211BD,50.853269832657,5.6919430326462
6211BE,50.852157997736,5.6992791192884
6211BE,50.8529801209331,5.6917856481124
6211BG,50.854212867865,5.6926487293453
6211BH,50.8543776489318,5.6914368923118
6211BJ,50.8535015732172,5.6928011404841
6211BK,50.8534670241455,5.6928221717661
6211BK,50.8542353688173,5.690560955936
6211BL,50.8535532697931,5.692935337304
6211BM,50.853253460886,5.6926627753454
6211BN,50.8536448709084,5.6912738235424
6211BP,50.854039410421,5.6903882112531
6211BP,50.853603511953,5.691543032191
6211BS,50.8532304783193,5.6906052699587
6211BT,50.8537151095075,5.6909178637479
6211BV,50.8525513721732,5.6913257201643
6211BW,50.8534245972178,5.692422357293
6211BX,50.8533946763863,5.6927010219763
6211BZ,50.8537592780051,5.6910472607459
6211CA,50.852524558185,5.6926150601008
6211CB,50.8525984081271,5.6923088281162
6211CC,50.8537125062851,5.6935552967784
6211CD,50.8524977199884,5.6936250724124
6211CE,50.8522749194059,5.6925817666381
6211CG,50.852237594238,5.6928476324496
6211CH,50.8509902233682,5.6901799447175
6211CJ,50.8519352941604,5.6898262361256
6211CK,50.8518929444486,5.6913518164369
